Name,Text,Interjection
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id145.wav, I seen um IN I IN it,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id146.wav,um,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id148.wav,um computer work.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id149.wav,Um,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id151.wav,"Um, it was",1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id152.wav,um girl WHO,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id156.wav,um get BA CK to them,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id157.wav,Um.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id159.wav,Um someone had um,2.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id160.wav,UHH,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id161.wav,UHH,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id162.wav,Uhh,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id163.wav,um she didn't,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id164.wav,quite make it to um the train.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id165.wav,And she um FE FELL OFFFFFFFF the train.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id166.wav,Um and she,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id168.wav,Um.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id169.wav,Where she um LIVVVVVVED.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id171.wav,then she was thrown out of the um,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id173.wav, Um.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id174.wav,And she um,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id177.wav,Um.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_13y1m_1_id116.wav,"that’s um black and white.Er,",2.0
D:\placements\paleru_technology\data\UCLASS\F_0101_13y1m_1_id118.wav,"year but um,",1.0
